,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 793 - Inner 4,68,3,3,0.7497971660920302,25,True,0.8463302752293578,0.6153846153846154,0.5,0.9724770642201835,0.8872180451127819
Outer 793 - Inner 5,43,3,1,0.6001559525593609,19,True,0.834288990825688,0.4615384615384615,0.375,0.944954128440367,0.8421052631578947
Outer 794 - Inner 0,67,4,2,0.8090530912713219,22,True,0.8180428134556574,0.5238095238095238,0.4583333333333333,0.9357798165137615,0.849624060150376
Outer 794 - Inner 1,43,5,1,0.546884139655305,25,True,0.7224770642201834,0.32432432432432434,0.25,0.9357798165137615,0.8120300751879699
Outer 794 - Inner 2,64,5,2,0.8482100004998003,21,True,0.7368119266055045,0.4102564102564102,0.3333333333333333,0.9357798165137615,0.8270676691729323
Outer 794 - Inner 3,36,2,1,0.6364859731440511,8,True,0.7870795107033639,0.48000000000000004,0.5,0.8715596330275229,0.8045112781954887
Outer 794 - Inner 4,27,7,1,0.8040628310959033,18,True,0.7264908256880734,0.4186046511627907,0.375,0.908256880733945,0.8120300751879699
Outer 794 - Inner 5,69,10,1,0.9417675784108478,19,True,0.7740825688073395,0.4736842105263159,0.375,0.9541284403669725,0.849624060150376
Outer 795 - Inner 0,36,10,4,0.8997120992522145,27,True,0.793960244648318,0.6222222222222222,0.5833333333333334,0.9357798165137615,0.8721804511278195
Outer 795 - Inner 1,43,9,4,0.9600752571075706,8,True,0.8386850152905199,0.6086956521739131,0.5833333333333334,0.926605504587156,0.8646616541353384
Outer 795 - Inner 2,72,2,3,0.8810525349416656,27,True,0.7511467889908257,0.3636363636363636,0.3333333333333333,0.8899082568807339,0.7894736842105263
Outer 795 - Inner 3,29,9,1,0.7438692401005327,11,True,0.7893730886850152,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 795 - Inner 4,41,5,2,0.8415113475946594,15,True,0.8107798165137614,0.4090909090909091,0.375,0.8990825688073395,0.8045112781954887
Outer 795 - Inner 5,70,2,2,0.5803395812553285,18,True,0.8327599388379205,0.5714285714285715,0.5,0.944954128440367,0.8646616541353384
Outer 796 - Inner 0,48,5,2,0.7997908103452738,11,True,0.8375382262996942,0.4736842105263159,0.375,0.9541284403669725,0.849624060150376
Outer 796 - Inner 1,73,8,1,0.7853312893148781,21,True,0.8539755351681957,0.48648648648648646,0.375,0.963302752293578,0.8571428571428571
Outer 796 - Inner 2,30,3,2,0.9417508950674923,25,True,0.7694954128440368,0.5365853658536585,0.4583333333333333,0.944954128440367,0.8571428571428571
Outer 796 - Inner 3,75,2,4,0.7899686432849666,25,True,0.7737003058103976,0.5,0.4166666666666667,0.944954128440367,0.849624060150376
Outer 796 - Inner 4,74,6,2,0.6434438467649284,27,True,0.764525993883792,0.35897435897435903,0.2916666666666667,0.926605504587156,0.8120300751879699
Outer 796 - Inner 5,62,3,2,0.601508291913285,10,True,0.7400611620795107,0.4,0.3333333333333333,0.926605504587156,0.8195488721804511
Outer 797 - Inner 0,62,7,4,0.8942808493645924,23,True,0.8344801223241591,0.34285714285714286,0.25,0.9541284403669725,0.8270676691729323
Outer 797 - Inner 1,31,6,1,0.8418158947952638,30,True,0.7851681957186544,0.4,0.3333333333333333,0.926605504587156,0.8195488721804511
Outer 797 - Inner 2,33,4,2,0.8852586372237979,10,True,0.8329510703363914,0.3157894736842105,0.25,0.926605504587156,0.8045112781954887
Outer 797 - Inner 3,72,6,1,0.8325815552312855,26,True,0.8761467889908258,0.34285714285714286,0.25,0.9541284403669725,0.8270676691729323
Outer 797 - Inner 4,53,4,3,0.8809703652487831,15,True,0.8333333333333333,0.380952380952381,0.3333333333333333,0.908256880733945,0.8045112781954887
Outer 797 - Inner 5,62,2,4,0.8828275663947766,27,True,0.7993119266055045,0.3783783783783784,0.2916666666666667,0.944954128440367,0.8270676691729323
Outer 798 - Inner 0,54,5,1,0.793766975706953,16,True,0.8178516819571866,0.4444444444444444,0.3333333333333333,0.963302752293578,0.849624060150376
Outer 798 - Inner 1,45,3,3,0.9724282400524652,10,True,0.8184250764525994,0.5,0.4166666666666667,0.944954128440367,0.849624060150376
Outer 798 - Inner 2,37,2,1,0.8683109896372894,16,True,0.8300840978593272,0.4,0.3333333333333333,0.926605504587156,0.8195488721804511
Outer 798 - Inner 3,62,5,1,0.9853818606338273,18,True,0.8589449541284404,0.4210526315789474,0.3333333333333333,0.944954128440367,0.8345864661654135
Outer 798 - Inner 4,48,2,3,0.857088644412216,9,True,0.8555045871559632,0.5128205128205129,0.4166666666666667,0.9541284403669725,0.8571428571428571
Outer 798 - Inner 5,74,7,2,0.8115021776425668,10,True,0.8356269113149847,0.48648648648648646,0.375,0.963302752293578,0.8571428571428571
Outer 799 - Inner 0,50,6,3,0.7423442481745562,25,True,0.8360091743119266,0.5641025641025641,0.4583333333333333,0.963302752293578,0.8721804511278195
Outer 799 - Inner 1,74,5,3,0.9437687264182517,29,True,0.7882262996941897,0.38888888888888895,0.2916666666666667,0.9541284403669725,0.8345864661654135
Outer 799 - Inner 2,68,2,1,0.8019576279961756,20,True,0.8535932721712539,0.4571428571428572,0.3333333333333333,0.9724770642201835,0.8571428571428571
Outer 799 - Inner 3,48,9,2,0.5554341484305199,24,True,0.7691131498470949,0.5333333333333333,0.5,0.9174311926605505,0.8421052631578947
Outer 799 - Inner 4,33,5,3,0.9850925499804787,13,True,0.8121177370030581,0.5333333333333333,0.5,0.9174311926605505,0.8421052631578947
Outer 799 - Inner 5,69,9,1,0.9320533224748389,30,True,0.8600917431192661,0.5,0.375,0.9724770642201835,0.8646616541353384
Outer 800 - Inner 0,67,10,1,0.7617268439677005,25,True,0.6846330275229358,0.4571428571428572,0.3333333333333333,0.9724770642201835,0.8571428571428571
Outer 800 - Inner 1,56,8,4,0.5543221209484307,27,True,0.6903669724770642,0.32558139534883723,0.2916666666666667,0.8899082568807339,0.7819548872180451
Outer 800 - Inner 2,52,2,2,0.7257985563096081,21,True,0.7800076452599389,0.47058823529411764,0.3333333333333333,0.981651376146789,0.8646616541353384
Outer 800 - Inner 3,36,8,4,0.8526338662102968,23,True,0.6838685015290519,0.39024390243902435,0.3333333333333333,0.9174311926605505,0.8120300751879699
Outer 800 - Inner 4,48,6,1,0.899875026514073,25,True,0.6739296636085627,0.30303030303030304,0.20833333333333334,0.963302752293578,0.8270676691729323
Outer 800 - Inner 5,73,3,1,0.8221848988131215,28,True,0.6808103975535169,0.25,0.16666666666666666,0.963302752293578,0.8195488721804511
Outer 801 - Inner 0,27,6,1,0.8017744030828127,13,True,0.7930045871559633,0.46511627906976744,0.4166666666666667,0.9174311926605505,0.8270676691729323
Outer 801 - Inner 1,33,3,2,0.9531412602660512,16,True,0.8216743119266054,0.45,0.375,0.9357798165137615,0.8345864661654135
Outer 801 - Inner 2,59,8,3,0.6010976329478042,29,True,0.8520642201834863,0.5454545454545454,0.5,0.926605504587156,0.849624060150376
Outer 801 - Inner 3,38,5,1,0.7259791471582351,27,True,0.7595565749235474,0.3829787234042554,0.375,0.8715596330275229,0.7819548872180451
Outer 801 - Inner 4,54,2,1,0.9857289817450505,12,True,0.7421636085626913,0.3684210526315789,0.2916666666666667,0.9357798165137615,0.8195488721804511
Outer 801 - Inner 5,57,4,1,0.9070779937021256,13,True,0.8073394495412843,0.4615384615384615,0.375,0.944954128440367,0.8421052631578947
Outer 802 - Inner 0,59,6,1,0.8728176192917266,16,True,0.7555428134556575,0.1875,0.125,0.9541284403669725,0.8045112781954887
Outer 802 - Inner 1,65,4,1,0.6244808656914087,5,True,0.6896024464831805,0.3636363636363636,0.3333333333333333,0.8899082568807339,0.7894736842105263
Outer 802 - Inner 2,72,7,1,0.7862294758468364,28,True,0.7538226299694188,0.3157894736842105,0.25,0.926605504587156,0.8045112781954887
Outer 802 - Inner 3,35,4,1,0.796438961103994,18,True,0.7467507645259939,0.23529411764705882,0.16666666666666666,0.944954128440367,0.8045112781954887
Outer 802 - Inner 4,68,5,2,0.8378002772458919,28,True,0.7725535168195719,0.34285714285714286,0.25,0.9541284403669725,0.8270676691729323
Outer 802 - Inner 5,20,4,4,0.5858512302386067,16,True,0.7402522935779816,0.3673469387755102,0.375,0.8532110091743119,0.7669172932330827
Outer 803 - Inner 0,54,5,3,0.9713239284620492,13,True,0.7236238532110091,0.4571428571428572,0.3333333333333333,0.9724770642201835,0.8571428571428571
Outer 803 - Inner 1,55,2,1,0.5221825638654891,13,True,0.6928516819571865,0.3913043478260869,0.375,0.8807339449541285,0.7894736842105263
Outer 803 - Inner 2,73,8,4,0.7763272431189823,25,True,0.7003058103975535,0.3333333333333333,0.2916666666666667,0.8990825688073395,0.7894736842105263
Outer 803 - Inner 3,58,5,1,0.6326447074778911,16,True,0.7733180428134557,0.6153846153846154,0.5,0.9724770642201835,0.8872180451127819
Outer 803 - Inner 4,46,6,3,0.8830619691000989,12,True,0.7350917431192661,0.5,0.4166666666666667,0.944954128440367,0.849624060150376
Outer 803 - Inner 5,38,7,1,0.6462366124949359,27,True,0.7347094801223242,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 804 - Inner 0,43,6,4,0.9603930251915376,14,True,0.8096330275229358,0.48648648648648646,0.375,0.963302752293578,0.8571428571428571
Outer 804 - Inner 1,60,8,1,0.9023019468439113,26,True,0.7909021406727829,0.4571428571428572,0.3333333333333333,0.9724770642201835,0.8571428571428571
Outer 804 - Inner 2,51,2,2,0.9670320530825037,11,True,0.8662079510703363,0.5,0.4166666666666667,0.944954128440367,0.849624060150376
Outer 804 - Inner 3,39,7,1,0.8808149195933941,22,True,0.7962538226299695,0.4,0.3333333333333333,0.926605504587156,0.8195488721804511
Outer 804 - Inner 4,73,5,3,0.759994681909952,17,True,0.8019877675840978,0.3783783783783784,0.2916666666666667,0.944954128440367,0.8270676691729323
Outer 804 - Inner 5,75,2,2,0.9168276365948864,10,True,0.8467125382262997,0.5641025641025641,0.4583333333333333,0.963302752293578,0.8721804511278195
Outer 805 - Inner 0,49,4,3,0.9046868117431113,21,True,0.8000764525993884,0.5416666666666666,0.5416666666666666,0.8990825688073395,0.8345864661654135
Outer 805 - Inner 1,42,2,3,0.9881362100652992,16,True,0.7809633027522936,0.4583333333333333,0.4583333333333333,0.8807339449541285,0.8045112781954887
Outer 805 - Inner 2,62,2,4,0.8985923302804122,30,True,0.7412079510703363,0.4102564102564102,0.3333333333333333,0.9357798165137615,0.8270676691729323
Outer 805 - Inner 3,65,9,1,0.6505292060631971,22,True,0.7939602446483179,0.5128205128205129,0.4166666666666667,0.9541284403669725,0.8571428571428571
Outer 805 - Inner 4,20,6,2,0.9194675343185528,10,True,0.7966360856269113,0.46511627906976744,0.4166666666666667,0.9174311926605505,0.8270676691729323
Outer 805 - Inner 5,71,4,3,0.6703941450144333,17,True,0.7240061162079511,0.3913043478260869,0.375,0.8807339449541285,0.7894736842105263
Outer 806 - Inner 0,56,3,3,0.5265935694811358,14,True,0.7935779816513762,0.43478260869565216,0.4166666666666667,0.8899082568807339,0.8045112781954887
Outer 806 - Inner 1,69,5,1,0.9246081325747283,15,True,0.8474770642201834,0.4615384615384615,0.375,0.944954128440367,0.8421052631578947
