,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 568,70,3,2,0.8122885716857825,8,True,0.7533350113264535,0.2352941176470588,0.13793103448275862,0.9927007299270073,0.8433734939759037
Outer 569,67,5,4,0.7900656063356233,4,True,0.7717090359929525,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 570,73,4,4,0.9319979034354702,8,True,0.7729675308331235,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 571,60,5,2,0.9877134644433982,5,True,0.7573621948150012,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 572,73,5,1,0.6398680103448628,6,True,0.8318650893531336,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 573,63,3,4,0.7684437340721706,4,True,0.7868109740750063,0.0,0.0,1.0,0.8253012048192772
Outer 574,55,5,1,0.7671452003103484,6,True,0.6836143971809715,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 575,62,5,1,0.615465436774558,6,True,0.7007299270072993,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 576,54,2,4,0.9817583464680724,4,True,0.7719607349609866,0.0,0.0,1.0,0.8253012048192772
Outer 577,58,2,3,0.6984866107450425,6,True,0.7120563805688397,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 578,38,3,2,0.6999473146479755,8,True,0.6486282406242134,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 579,67,3,2,0.9529046464960775,5,True,0.7780015101938083,0.0,0.0,1.0,0.8253012048192772
Outer 580,71,5,3,0.9225911839796577,3,True,0.8074502894538133,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 581,68,3,3,0.7749830483886336,4,True,0.6936823559023408,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 582,75,4,4,0.9336937396153252,6,True,0.61867606342814,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
