,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 7 - Inner 3,80,6,1,0.9193232647203698,12,True,0.7616410772715831,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 7 - Inner 4,126,8,3,0.5978128243101346,26,True,0.7515731185502139,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 7 - Inner 5,97,10,4,0.5054529408010388,7,True,0.7812735967782531,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 8 - Inner 0,107,8,3,0.9225783673213424,9,True,0.7213692423861062,0.0,0.0,1.0,0.8253012048192772
Outer 8 - Inner 1,157,8,4,0.9667877150273998,13,True,0.7493078278379058,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 8 - Inner 2,119,9,3,0.7397928240582023,26,True,0.6871381827334508,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 8 - Inner 3,74,8,4,0.8258182589766211,6,True,0.719859048577901,0.0,0.0,1.0,0.8253012048192772
Outer 8 - Inner 4,175,2,2,0.8116620978190134,19,True,0.6902844198338787,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 8 - Inner 5,59,9,4,0.6342437773910319,8,True,0.648124842688145,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 9 - Inner 0,131,10,3,0.8630854777307659,5,True,0.7261515227787566,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 9 - Inner 1,65,9,4,0.5291311971133728,6,True,0.70375031462371,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 9 - Inner 2,133,8,3,0.9725966248349271,17,True,0.7067707022401208,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 9 - Inner 3,132,3,3,0.8463890628240383,28,True,0.737477976340297,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 9 - Inner 4,199,2,3,0.7433386851293036,7,True,0.7082808960483261,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 9 - Inner 5,108,10,3,0.8979634824974054,18,True,0.7123080795368738,0.11764705882352941,0.06896551724137931,0.9781021897810219,0.8192771084337349
